Date,Value
3/1/2015,2.04
4/1/2015,1.93
5/1/2015,2.2
6/1/2015,2.36
7/1/2015,2.32
8/1/2015,2.17
9/1/2015,2.17
10/1/2015,2.07
11/1/2015,2.26
12/1/2015,2.24
1/1/2016,2.09
2/1/2016,1.78
3/1/2016,1.89
4/1/2016,1.81
5/1/2016,1.81
6/1/2016,1.64
7/1/2016,1.5
8/1/2016,1.56
9/1/2016,1.63
10/1/2016,1.76
11/1/2016,2.14
12/1/2016,2.49
1/1/2017,2.43
2/1/2017,2.42
3/1/2017,2.48
4/1/2017,2.18
5/1/2017,2.3
6/1/2017,2.19
7/1/2017,2.32
8/1/2017,2.21
9/1/2017,2.2
10/1/2017,2.36
11/1/2017,2.35
12/1/2017,2.4
1/1/2018,2.58
2/1/2018,2.86
3/1/2018,2.84
4/1/2018,2.77
